      ,Title                                                                               ,Director                           ,Year ,Series                                                                                                                                  ,Date       ,Notes
   99 ,Interiors                                                                           ,Allen                              ,1978 ,Weekend - Spring 1979                                                                                                                   ,1979-04-28 ,No notes
  100 ,Bananas                                                                             ,Allen                              ,1971 ,Weekend - Autumn 1979 (Hollywood Highs)                                                                                                 ,1979-12-08 ,No notes
  101 ,Manhattan                                                                           ,Allen                              ,1979 ,Weekend - Spring 1980 (Days and Nights in Quantrell)                                                                                    ,1980-04-26 ,No notes
  102 ,Sleeper                                                                             ,Allen                              ,1973 ,Weekend - Autumn 1980 (Weekend Now!)                                                                                                    ,1980-12-06 ,No notes
  103 ,Love and Death                                                                      ,Allen                              ,1975 ,Weekend - Spring 1981                                                                                                                   ,1981-04-18 ,No notes
  104 ,Bananas                                                                             ,Allen                              ,1971 ,Weekend - Winter 1982 (For Your Eyes Only)                                                                                              ,1982-03-13 ,No notes
  105 ,Love and Death                                                                      ,Allen                              ,1975 ,Student Activities Film Summer 1983                                                                                                     ,1983-07-08 ,No notes
  106 ,Annie Hall                                                                          ,Allen                              ,1977 ,Weekend - Autumn 1983                                                                                                                   ,1983-11-26 ,No notes
  107 ,Zelig                                                                               ,Allen                              ,1983 ,Weekend - Spring 1984 (The Big Weekend)                                                                                                 ,1984-03-30 ,No notes
  108 ,"Midsummer Night's Sex Comedy, A"                                                   ,Allen                              ,1983 ,Summer on the Quads 1984                                                                                                                ,1984-07-06 ,No notes
  109 ,Take the Money and Run                                                              ,Allen                              ,1969 ,Weekend - Winter 1985 (Romancing the Weekend)                                                                                           ,1985-03-02 ,No notes
  110 ,Broadway Danny Rose                                                                 ,Allen                              ,1984 ,Weekend - Spring 1985 (The Cotton Cobb)                                                                                                 ,1985-04-06 ,No notes
  111 ,Zelig                                                                               ,Allen                              ,1984 ,Student Activities Film Summer 1985                                                                                                     ,1985-06-28 ,No notes
  112 ,Purple Rose of Cairo                                                                ,Allen                              ,1985 ,Weekend - Winter 1986                                                                                                                   ,1986-02-08 ,No notes
  113 ,Broadway Danny Rose                                                                 ,Allen                              ,1984 ,Summer 1986                                                                                                                             ,1986-06-27 ,No notes
  114 ,Hannah and Her Sisters                                                              ,Allen                              ,1986 ,Weekend - Autumn 1986                                                                                                                   ,1986-11-21 ,No notes
  115 ,Purple Rose of Cairo                                                                ,Allen                              ,1985 ,Summer on the Quads 1987                                                                                                                ,1987-06-26 ,No notes
  116 ,Radio Days                                                                          ,Allen                              ,1987 ,Weekend - Fall 1987 (Weekends of Eastwick)                                                                                              ,1987-11-27 ,No notes
  117 ,Manhattan                                                                           ,Allen                              ,1979 ,Summer 1988                                                                                                                             ,1988-08-06 ,No notes
  118 ,Hannah and Her Sisters                                                              ,Allen                              ,1986 ,Summer 1989                                                                                                                             ,1989-08-04 ,No notes
  119 ,Crimes and Misdemeanors                                                             ,Allen                              ,1989 ,"Weekend - Winter 1990 (It's the Coldest Night of the Weekend, You Can Do Nothing, You Can Do Something, or You Can Do the Doc Thing!)" ,1990-02-24 ,No notes
  120 ,Alice                                                                               ,Allen                              ,1990 ,Weekend - Spring 1991 (Dances with Maxes)                                                                                               ,1991-05-24 ,No notes
  121 ,Sleeper                                                                             ,Allen                              ,1973 ,Summer 1991                                                                                                                             ,1991-06-28 ,No notes
  122 ,Zelig                                                                               ,Allen                              ,1983 ,Summer 1991                                                                                                                             ,1991-06-28 ,No notes
  123 ,Stardust Memories                                                                   ,Allen                              ,1980 ,Psychoanalysis and Cinema                                                                                                               ,1991-11-26 ,No notes
