      ,Title                                                                               ,Director                           ,Year ,Series                                                                                                                                  ,Date       ,Notes
 4734 ,"Birds, The"                                                                        ,Hitchcock                          ,1963 ,Weekend - Autumn 1977                                                                                                                   ,1977-11-24 ,No notes
 4735 ,Psycho                                                                              ,Hitchcock                          ,1960 ,Weekend - Autumn 1977                                                                                                                   ,1977-11-24 ,No notes
 4736 ,"Birds, The"                                                                        ,Hitchcock                          ,1963 ,Weekend - Autumn 1977                                                                                                                   ,1977-11-25 ,No notes
 4737 ,Psycho                                                                              ,Hitchcock                          ,1960 ,Weekend - Autumn 1977                                                                                                                   ,1977-11-25 ,No notes
 4738 ,39 Steps                                                                            ,Hitchcock                          ,1935 ,Weekend - Winter 1978                                                                                                                   ,1978-01-08 ,No notes
 4739 ,Psycho                                                                              ,Hitchcock                          ,1960 ,Alfred Hitchcock                                                                                                                        ,1978-10-03 ,No notes
 4740 ,To Catch a Thief                                                                    ,Hitchcock                          ,1955 ,Alfred Hitchcock                                                                                                                        ,1978-10-10 ,No notes
 4741 ,Under Capicorn                                                                      ,Hitchcock                          ,1949 ,Alfred Hitchcock                                                                                                                        ,1978-10-17 ,No notes
 4742 ,Farmer's Wife                                                                       ,Hitchcock                          ,1928 ,Alfred Hitchcock                                                                                                                        ,1978-10-24 ,No notes
 4743 ,Mr. and Mrs. Smith                                                                  ,Hitchcock                          ,1941 ,Alfred Hitchcock                                                                                                                        ,1978-10-24 ,No notes
 4744 ,Murder                                                                              ,Hitchcock                          ,1930 ,Alfred Hitchcock                                                                                                                        ,1978-10-31 ,No notes
 4745 ,Number Seventeen                                                                    ,Hitchcock                          ,1932 ,Alfred Hitchcock                                                                                                                        ,1978-10-31 ,No notes
 4746 ,Stage Fright                                                                        ,Hitchcock                          ,1951 ,Alfred Hitchcock                                                                                                                        ,1978-11-07 ,No notes
 4747 ,Torn Curtain                                                                        ,Hitchcock                          ,1966 ,Alfred Hitchcock                                                                                                                        ,1978-11-07 ,No notes
 4748 ,Suspicion                                                                           ,Hitchcock                          ,1941 ,Alfred Hitchcock                                                                                                                        ,1978-11-14 ,No notes
 4749 ,Secret Agent                                                                        ,Hitchcock                          ,1936 ,Alfred Hitchcock                                                                                                                        ,1978-11-21 ,No notes
 4750 ,Topaz                                                                               ,Hitchcock                          ,1969 ,Alfred Hitchcock                                                                                                                        ,1978-11-21 ,No notes
 4751 ,Wrong Man                                                                           ,Hitchcock                          ,1957 ,Alfred Hitchcock                                                                                                                        ,1978-11-28 ,No notes
 4752 ,Foreign Correspondent                                                               ,Hitchcock                          ,1940 ,Weekend - Spring 1980 (Days and Nights in Quantrell)                                                                                    ,1980-05-02 ,No notes
 4753 ,Saboteur                                                                            ,Hitchcock                          ,1942 ,Weekend - Spring 1980 (Days and Nights in Quantrell)                                                                                    ,1980-05-02 ,No notes
 4754 ,Frenzy                                                                              ,Hitchcock                          ,1972 ,Weekend - Winter 1981                                                                                                                   ,1981-02-06 ,No notes
 4755 ,Marnie                                                                              ,Hitchcock                          ,1964 ,Weekend - Winter 1981                                                                                                                   ,1981-02-06 ,No notes
 4756 ,"Birds, The"                                                                        ,Hitchcock                          ,1963 ,Season Opener                                                                                                                           ,1981-03-31 ,No notes
 4757 ,Notorious                                                                           ,Hitchcock                          ,1946 ,Weekend - Spring 1981                                                                                                                   ,1981-05-01 ,No notes
 4758 ,Shadow of a Doubt                                                                   ,Hitchcock                          ,1943 ,Visions of America                                                                                                                      ,1981-07-07 ,No notes
 4759 ,Marnie                                                                              ,Hitchcock                          ,1964 ,Summer 1982                                                                                                                             ,1982-06-29 ,No notes
 4760 ,Dial M for Murder                                                                   ,Hitchcock                          ,1954 ,Weekend - Autumn 1982                                                                                                                   ,1982-11-19 ,In 3-D
 4761 ,Farmer's Wife                                                                       ,Hitchcock                          ,1926 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-01-04 ,No notes
 4762 ,"Lodger, The"                                                                       ,Hitchcock                          ,1926 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-01-04 ,No notes
 4763 ,"Manxman, The"                                                                      ,Hitchcock                          ,1929 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-01-11 ,No notes
 4764 ,"Ring, The"                                                                         ,Hitchcock                          ,1927 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-01-11 ,No notes
 4765 ,Blackmail                                                                           ,Hitchcock                          ,1929 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-01-18 ,No notes
 4766 ,Murder!                                                                             ,Hitchcock                          ,1930 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-01-18 ,No notes
 4767 ,Rich and Strange                                                                    ,Hitchcock                          ,1932 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-01-25 ,No notes
 4768 ,Sabotage                                                                            ,Hitchcock                          ,1936 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-01-25 ,No notes
 4769 ,Secret Agent                                                                        ,Hitchcock                          ,1936 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-02-01 ,No notes
 4770 ,Paradine Case                                                                       ,Hitchcock                          ,1947 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-02-08 ,No notes
 4771 ,To Catch a Thief                                                                    ,Hitchcock                          ,1955 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-02-15 ,In Person: Robin Wood
 4772 ,Wrong Man                                                                           ,Hitchcock                          ,1957 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-02-22 ,No notes
 4773 ,Topaz                                                                               ,Hitchcock                          ,1969 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-03-01 ,No notes
 4774 ,Family Plot                                                                         ,Hitchcock                          ,1976 ,Deeper into Hitchcock: A Selection of Rarely Seen Works                                                                                 ,1983-03-08 ,No notes
 4775 ,Marnie                                                                              ,Hitchcock                          ,1964 ,Open Series: Auteurism in Action                                                                                                        ,1983-04-06 ,No notes
 4776 ,Rear Window                                                                         ,Hitchcock                          ,1954 ,Weekend - Winter 1985 (Romancing the Weekend)                                                                                           ,1985-01-12 ,No notes
 4777 ,Trouble with Harry                                                                  ,Hitchcock                          ,1955 ,Weekend - Spring 1985 (The Cotton Cobb)                                                                                                 ,1985-04-13 ,No notes
 4778 ,Suspicion                                                                           ,Hitchcock                          ,1941 ,Student Activities Film Summer 1985                                                                                                     ,1985-07-05 ,No notes
 4779 ,Marnie                                                                              ,Hitchcock                          ,1964 ,Student Activities Film Summer 1985                                                                                                     ,1985-08-07 ,No notes
 4780 ,"Birds, The"                                                                        ,Hitchcock                          ,1963 ,Summer 1986                                                                                                                             ,1986-06-26 ,No notes
 4781 ,Trouble with Harry                                                                  ,Hitchcock                          ,1955 ,Summer 1986                                                                                                                             ,1986-07-05 ,No notes
 4782 ,Rear Window                                                                         ,Hitchcock                          ,1954 ,Summer on the Quads 1987                                                                                                                ,1987-08-19 ,No notes
 4783 ,"Lodger, The"                                                                       ,Hitchcock                          ,1926 ,Alfred Hitchcock                                                                                                                        ,1988-01-11 ,No notes
 4784 ,Number Seventeen                                                                    ,Hitchcock                          ,1932 ,Alfred Hitchcock                                                                                                                        ,1988-01-11 ,No notes
 4785 ,Sabotage                                                                            ,Hitchcock                          ,1936 ,Alfred Hitchcock                                                                                                                        ,1988-01-18 ,No notes
 4786 ,"Lady Vanishes, The"                                                                ,Hitchcock                          ,1938 ,Alfred Hitchcock                                                                                                                        ,1988-01-25 ,No notes
 4787 ,Shadow of a Doubt                                                                   ,Hitchcock                          ,1943 ,Alfred Hitchcock                                                                                                                        ,1988-02-01 ,No notes
 4788 ,Suspicion                                                                           ,Hitchcock                          ,1941 ,Alfred Hitchcock                                                                                                                        ,1988-02-01 ,No notes
 4789 ,Lifeboat                                                                            ,Hitchcock                          ,1943 ,Alfred Hitchcock                                                                                                                        ,1988-02-08 ,No notes
 4790 ,Notorious                                                                           ,Hitchcock                          ,1946 ,Alfred Hitchcock                                                                                                                        ,1988-02-08 ,No notes
 4791 ,"Paradine Case, The"                                                                ,Hitchcock                          ,1947 ,Alfred Hitchcock                                                                                                                        ,1988-02-15 ,No notes
 4792 ,Pscyho                                                                              ,Hitchcock                          ,1960 ,Alfred Hitchcock                                                                                                                        ,1988-02-22 ,No notes
 4793 ,Marnie                                                                              ,Hitchcock                          ,1964 ,Alfred Hitchcock                                                                                                                        ,1988-02-29 ,No notes
 4794 ,Frenzy                                                                              ,Hitchcock                          ,1972 ,Alfred Hitchcock                                                                                                                        ,1988-03-07 ,No notes
 4795 ,Secret Agent                                                                        ,Hitchcock                          ,1936 ,Summer 1988                                                                                                                             ,1988-07-20 ,No notes
 4796 ,Notorious                                                                           ,Hitchcock                          ,1946 ,Summer 1989                                                                                                                             ,1989-07-07 ,No notes
 4797 ,Suspicion                                                                           ,Hitchcock                          ,1941 ,Summer 1989                                                                                                                             ,1989-07-07 ,No notes
 4798 ,"Birds, The"                                                                        ,Hitchcock                          ,1963 ,Sight & Sound                                                                                                                           ,1990-05-08 ,No notes
 4799 ,Farmer's Wife                                                                       ,Hitchcock                          ,1940 ,Sight & Sound                                                                                                                           ,1990-05-08 ,No notes
 4800 ,Marnie                                                                              ,Hitchcock                          ,1964 ,Summer 1991                                                                                                                             ,1991-07-20 ,No notes
 4801 ,Suspicion                                                                           ,Hitchcock                          ,1941 ,Summer 1991                                                                                                                             ,1991-07-20 ,No notes
 4802 ,Rope                                                                                ,Hitchcock                          ,1948 ,Historical Gay & Lesbian Representation                                                                                                 ,1992-04-23 ,No notes
 4803 ,I Confess                                                                           ,Hitchcock                          ,1953 ,Hollywood Vatican                                                                                                                       ,1993-04-19 ,No notes
 4804 ,The 39 Steps                                                                        ,Hitchcock                          ,1935 ,Summer 1994                                                                                                                             ,1994-08-03 ,No notes
 4805 ,North by Northwest                                                                  ,Hitchcock                          ,1959 ,One Hundred Years                                                                                                                       ,1996-03-28 ,Presented by Ted Cohen
 4806 ,Trouble with Harry                                                                  ,Hitchcock                          ,1955 ,Summer 1996                                                                                                                             ,1996-07-11 ,No notes
 4807 ,"Lodger, The"                                                                       ,Hitchcock                          ,1926 ,Early Hitchcock                                                                                                                         ,1996-10-03 ,No notes
 4808 ,Number Seventeen                                                                    ,Hitchcock                          ,1932 ,Early Hitchcock                                                                                                                         ,1996-10-10 ,No notes
 4809 ,Murder!                                                                             ,Hitchcock                          ,1930 ,Early Hitchcock                                                                                                                         ,1996-10-17 ,No notes
 4810 ,Easy Virtue                                                                         ,Hitchcock                          ,1927 ,Early Hitchcock                                                                                                                         ,1996-10-24 ,No notes
 4811 ,Blackmail                                                                           ,Hitchcock                          ,1929 ,Early Hitchcock                                                                                                                         ,1996-10-31 ,No notes
 4812 ,Strangers on a Train                                                                ,Hitchcock                          ,1951 ,Summer 1997                                                                                                                             ,1997-08-01 ,No notes
 4813 ,Dial M for Murder                                                                   ,Hitchcock                          ,1954 ,Hitchcock: Master of Suspense                                                                                                           ,1998-04-02 ,No notes
 4814 ,To Catch a Thief                                                                    ,Hitchcock                          ,1955 ,Hitchcock: Master of Suspense                                                                                                           ,1998-04-16 ,No notes
 4815 ,Trouble with Harry                                                                  ,Hitchcock                          ,1955 ,Hitchcock: Master of Suspense                                                                                                           ,1998-04-23 ,No notes
 4816 ,Man Who Knew Too Much                                                               ,Hitchcock                          ,1956 ,Hitchcock: Master of Suspense                                                                                                           ,1998-04-30 ,No notes
 4817 ,"Wrong Man, The"                                                                    ,Hitchcock                          ,1956 ,Hitchcock: Master of Suspense                                                                                                           ,1998-05-07 ,No notes
 4818 ,Vertigo                                                                             ,Hitchcock                          ,1958 ,Hitchcock: Master of Suspense                                                                                                           ,1998-05-14 ,No notes
 4819 ,North by Northwest                                                                  ,Hitchcock                          ,1959 ,Hitchcock: Master of Suspense                                                                                                           ,1998-05-21 ,No notes
 4820 ,Psycho                                                                              ,Hitchcock                          ,1960 ,Hitchcock: Master of Suspense                                                                                                           ,1998-05-28 ,No notes
 4821 ,"Birds, The"                                                                        ,Hitchcock                          ,1963 ,Hitchcock: Master of Suspense                                                                                                           ,1998-06-04 ,No notes
 4822 ,Rope                                                                                ,Hitchcock                          ,1948 ,Camera Movement I: Innovations                                                                                                          ,1998-10-27 ,No notes
 4823 ,Rebecca                                                                             ,Hitchcock                          ,1940 ,Songs of Love and Death: Lyrical Horror                                                                                                 ,1999-10-31 ,No notes
 4824 ,North by Northwest                                                                  ,Hitchcock                          ,1959 ,Summer 2000                                                                                                                             ,2000-08-26 ,No notes
 4825 ,39 Steps                                                                            ,Hitchcock                          ,1935 ,Espionage                                                                                                                               ,2001-01-09 ,No notes
 4826 ,Vertigo                                                                             ,Hitchcock                          ,1958 ,Composer Bernard Herrmann                                                                                                               ,2001-02-15 ,No notes
 4827 ,Marnie                                                                              ,Hitchcock                          ,1964 ,Composer Bernard Herrmann                                                                                                               ,2001-03-01 ,No notes
 4828 ,Man Who Knew Too Much                                                               ,Hitchcock                          ,1934 ,Summer 2001                                                                                                                             ,2001-07-13 ,No notes
 4829 ,Rear Window                                                                         ,Hitchcock                          ,1954 ,Weekend - Winter 2002 (Shallow Doc)                                                                                                     ,2002-02-01 ,No notes
 4830 ,Notorious                                                                           ,Hitchcock                          ,1946 ,Summer 2002                                                                                                                             ,2002-08-16 ,No notes
 4831 ,Foreign Correspondent **                                                            ,Hitchcock                          ,1940 ,In the News                                                                                                                             ,2002-10-17 ,Incomplete Print
 4832 ,Frenzy                                                                              ,Hitchcock                          ,1972 ,Summer 2003                                                                                                                             ,2003-06-25 ,No notes
 4833 ,Strangers on a Train                                                                ,Hitchcock                          ,1951 ,Summer 2003                                                                                                                             ,2003-07-02 ,No notes
 4834 ,"Birds, The"                                                                        ,Hitchcock                          ,1963 ,Summer 2003                                                                                                                             ,2003-07-09 ,No notes
 4835 ,"Pleasure Garden, The"                                                              ,Hitchcock                          ,1925 ,English Hitchcock                                                                                                                       ,2003-10-02 ,No notes
 4836 ,Lodger                                                                              ,Hitchcock                          ,1927 ,English Hitchcock                                                                                                                       ,2003-10-09 ,No notes
 4837 ,Blackmail                                                                           ,Hitchcock                          ,1929 ,English Hitchcock                                                                                                                       ,2003-10-16 ,No notes
 4838 ,Murder                                                                              ,Hitchcock                          ,1930 ,English Hitchcock                                                                                                                       ,2003-10-23 ,No notes
 4839 ,Man Who Knew Too Much                                                               ,Hitchcock                          ,1934 ,English Hitchcock                                                                                                                       ,2003-10-30 ,No notes
 4840 ,Secret Agent                                                                        ,Hitchcock                          ,1936 ,English Hitchcock                                                                                                                       ,2003-11-06 ,No notes
 4841 ,Sabotage                                                                            ,Hitchcock                          ,1936 ,English Hitchcock                                                                                                                       ,2003-11-13 ,No notes
 4842 ,Young and Innocent                                                                  ,Hitchcock                          ,1937 ,English Hitchcock                                                                                                                       ,2003-11-20 ,No notes
 4843 ,"Lady Vanishes, The"                                                                ,Hitchcock                          ,1938 ,English Hitchcock                                                                                                                       ,2003-11-27 ,Thanksgiving?
 4844 ,Adventure malgache                                                                  ,Hitchcock                          ,1944 ,English Hitchcock                                                                                                                       ,2003-12-04 ,No notes
 4845 ,Bon Voyage                                                                          ,Hitchcock                          ,1944 ,English Hitchcock                                                                                                                       ,2003-12-04 ,No notes
 4846 ,Number Seventeen                                                                    ,Hitchcock                          ,1932 ,English Hitchcock                                                                                                                       ,2003-12-04 ,No notes
 4847 ,Notorious                                                                           ,Hitchcock                          ,1946 ,Ben Hecht: Classic Hollywood Screenwriter                                                                                               ,2004-05-23 ,No notes
 4848 ,Foreign Correspondent                                                               ,Hitchcock                          ,1940 ,Summer 2004                                                                                                                             ,2004-06-23 ,No notes
 4849 ,Jamaica Inn                                                                         ,Hitchcock                          ,1939 ,Summer 2004                                                                                                                             ,2004-08-04 ,No notes
 4850 ,Rear Window                                                                         ,Hitchcock                          ,1954 ,Woody Allen and Those He Loved                                                                                                          ,2005-01-26 ,No notes
 4851 ,39 Steps                                                                            ,Hitchcock                          ,1935 ,Summer 2005                                                                                                                             ,2005-07-22 ,No notes
 4852 ,Shadow of a Doubt                                                                   ,Hitchcock                          ,1943 ,Summer 2006                                                                                                                             ,2006-06-30 ,No notes
 4853 ,"Lady Vanishes, The"                                                                ,Hitchcock                          ,1938 ,Classic Hitchcock                                                                                                                       ,2007-01-03 ,No notes
 4854 ,Rebecca                                                                             ,Hitchcock                          ,1940 ,Classic Hitchcock                                                                                                                       ,2007-01-10 ,No notes
 4855 ,Rope                                                                                ,Hitchcock                          ,1948 ,Classic Hitchcock                                                                                                                       ,2007-01-17 ,No notes
 4856 ,Psycho                                                                              ,Hitchcock                          ,1960 ,Classic Hitchcock                                                                                                                       ,2007-01-26 ,No notes
 4857 ,Strangers on a Train                                                                ,Hitchcock                          ,1951 ,Classic Hitchcock                                                                                                                       ,2007-01-31 ,No notes
 4858 ,Man Who Knew Too Much                                                               ,Hitchcock                          ,1956 ,Classic Hitchcock                                                                                                                       ,2007-02-07 ,No notes
 4859 ,To Catch a Thief                                                                    ,Hitchcock                          ,1955 ,Classic Hitchcock                                                                                                                       ,2007-02-14 ,No notes
 4860 ,Vertigo                                                                             ,Hitchcock                          ,1958 ,Classic Hitchcock                                                                                                                       ,2007-02-21 ,No notes
 4861 ,North by Northwest                                                                  ,Hitchcock                          ,1959 ,Classic Hitchcock                                                                                                                       ,2007-02-28 ,No notes
 4862 ,"Birds, The"                                                                        ,Hitchcock                          ,1963 ,Classic Hitchcock                                                                                                                       ,2007-03-07 ,No notes
 4863 ,Marnie                                                                              ,Hitchcock                          ,1964 ,Summer 2007                                                                                                                             ,2007-08-03 ,No notes
 4864 ,Sunday on the River                                                                 ,Hitchens                           ,1962 ,1963 Midwest Film Festival                                                                                                              ,1963-04-26 ,No notes
 4865 ,Back to the Beach                                                                   ,Hobbs                              ,1987 ,Weekend - Winter 1988 (Stop Making Weekends)                                                                                            ,1988-02-19 ,No notes
 4866 ,Eternal Mask                                                                        ,Hochbaum                           ,1935 ,Final Revival Series                                                                                                                    ,1938-05-03 ,"As UFS; First ""Modern Film"" Shown"
 4867 ,Eternal Mask                                                                        ,Hochbaum                           ,1935 ,Fiction Films - Autumn 1943                                                                                                             ,1943-11-23 ,No notes
 4868 ,Eternal Mask                                                                        ,Hochbaum                           ,1935 ,Fiction Films - Winter 1945                                                                                                             ,1945-02-13 ,No notes
 4869 ,Eternal Mask                                                                        ,Hochbaum                           ,1935 ,Fiction & Documentary Films - Spring 1947                                                                                               ,1947-04-01 ,"""Mix an Advancing Society [Song of China] … with the ""Laws of the Jungle"" [Tiger Fang]… and All Men May Be Cremated Equal [Atomic Films]"""
 4870 ,Get Carter                                                                          ,Hodges                             ,1971 ,British Crime Drama                                                                                                                     ,1991-11-14 ,No notes
 4871 ,Desert Victory                                                                      ,Hodson                             ,1943 ,Spring 1944                                                                                                                             ,1944-05-16 ,No notes
 4872 ,"Black Ball, or The Mysterious Sisters"                                             ,Hofer                              ,1913 ,"Red for Danger, Fire and Love: Early German Silent Films"                                                                              ,2002-01-28 ,No notes
 4873 ,My Best Friend's Wedding                                                            ,Hogan                              ,1997 ,Weekend - Autumn 1997 (My Best Friend DOC)                                                                                              ,1997-11-07 ,No notes
 4874 ,"Europa, Europa"                                                                    ,Holland                            ,1991 ,Weekend - Winter 1992 (Hangin' with the Max)                                                                                            ,1992-02-15 ,No notes
 4875 ,Provincial Actors                                                                   ,Holland                            ,1979 ,Open Foreign - Winter 1993                                                                                                              ,1993-01-24 ,No notes
 4876 ,Angry Harvest                                                                       ,Holland                            ,1986 ,Representing the Holocaust                                                                                                              ,1995-03-05 ,No notes
 4877 ,Angry Harvest                                                                       ,Holland                            ,1986 ,Open Foreign - Spring 1995                                                                                                              ,1995-04-09 ,No notes
 4878 ,Secret Garden                                                                       ,Holland                            ,1993 ,Kids' Matinee                                                                                                                           ,1996-10-13 ,No notes
 4879 ,Washington Square                                                                   ,Holland                            ,1997 ,Weekend - Winter 1998 (Dirk Diggler's DOC)                                                                                              ,1998-02-28 ,No notes
 4880 ,"Europa, Europa"                                                                    ,Holland                            ,1991 ,Exile                                                                                                                                   ,2000-05-16 ,No notes
 4881 ,Station Six Sahara                                                                  ,Holt                               ,1962 ,Directors We've Overlooked                                                                                                              ,1974-03-05 ,No notes
 4882 ,"Ghidrah, the Three-Headed Monster"                                                 ,Honda                              ,1965 ,Sci-Fi Night                                                                                                                            ,1985-05-03 ,No notes
 4883 ,Mysterians                                                                          ,Honda                              ,1959 ,50's/60's Sci-Fi                                                                                                                        ,1990-10-02 ,No notes
 4884 ,Mothra                                                                              ,Honda                              ,1961 ,Insectologies                                                                                                                           ,1999-01-28 ,No notes
 4885 ,Godzilla                                                                            ,Honda                              ,1954 ,Nuclear Radiation and Hibakusha                                                                                                         ,2005-02-28 ,No notes
 4886 ,Tsotsi                                                                              ,"Hood, G."                         ,2005 ,Weekend - Autumn 2006 (I'm Your Doc)                                                                                                    ,2006-10-20 ,No notes
 4887 ,Frank’s Cock                                                                        ,Hoolboom                           ,1994 ,HIV / AIDS                                                                                                                              ,2001-11-11 ,No notes
